Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team
Gleason   ,Schuppe Inc Pharm,Traunstein,Germany,47.8683,12.6433,Pharmacy,Institution,Fentalac,Antipiretics,320.0,618,197760.0,March,2017,Jessica Smith,Britanny Bold,Delta
Gerlach LLC ,Rutherford and Sons Pharm,Meppen,Germany,52.6906,7.291,Hospital,Government,Agalsiline,Mood Stabilizers,250.0,64,16000.0,March,2017,Erica Jones,James Goodwill,Alfa
Erdman  ,Mills Inc Pharmaceutical Ltd,Emsdetten,Germany,52.1728,7.5344,Hospital,Private,Dexmeprazole Transnuvia,Mood Stabilizers,10.0,180,1800.0,March,2017,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,Mraz-Kutch Pharmacy,Bad Salzuflen,Germany,52.0875,8.7506,Hospital,Government,Magneprex,Antimalarial,200.0,187,37400.0,March,2017,Morris Garcia,Tracy Banks,Bravo
Gerlach LLC ,Crona Group ,Viersen,Germany,51.2556,6.3917,Hospital,Government,Alarudin Azarolac,Mood Stabilizers,5.0,567,2835.0,March,2017,Mary Gerrard,Britanny Bold,Delta
Koss   ,"Zieme, Doyle and Kunze Pharmacy",Tuttlingen,Germany,47.985,8.8233,Pharmacy,Retail,Abobozolid,Antimalarial,20.0,75,1500.0,March,2017,Erica Jones,James Goodwill,Alfa
Koss   ,Crist LLC Pharma Plc,Neustadt,Germany,49.35,8.15,Pharmacy,Retail,Alglutriptan,Analgesics,20.0,301,6020.0,March,2017,Daniel Gates,Alisha Cordwell,Charlie
Rohan and Sons  ,Veum and Sons Pharmaceutical Limited,Landsberg,Germany,48.0528,10.8689,Pharmacy,Institution,Propralamide Dexlanzolam,Mood Stabilizers,67.0,391,26197.0,March,2017,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,"Watsica, Larson and Labadie Pharmaceutical Ltd",Nettetal,Germany,51.3167,6.2833,Hospital,Private,Relenstrel Exurabine,Antibiotics,5.0,424,2120.0,March,2017,Jessica Smith,Britanny Bold,Delta
Koss   ,Daugherty-Rempel Pharmaceutical Limited,Sigmaringen,Germany,48.0867,9.2164,Hospital,Private,Ganineva Agenium,Antiseptics,24.0,390,9360.0,March,2017,Erica Jones,James Goodwill,Alfa
Kozey-Emmerich ,Gerlach LLC Pharma Plc,Torgau,Germany,51.5603,13.0056,Hospital,Private,Lovapur,Mood Stabilizers,480.0,551,264480.0,March,2017,Mary Gerrard,Britanny Bold,Delta
Erdman  ,Rohan Inc Pharm,Weilheim,Germany,47.8333,11.1333,Hospital,Private,Acelimus,Analgesics,20.0,746,14920.0,March,2017,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,Leffler-Russel Pharmaceutical Limited,Hennigsdorf,Germany,52.6378,13.2036,Pharmacy,Institution,Angioparin Brimosumab,Mood Stabilizers,10.0,682,6820.0,March,2017,Jimmy Grey,Alisha Cordwell,Charlie
Lockman  ,"Reinger, Kihn and Goyette Pharmaceutical Limited",Overath,Germany,50.95,7.3,Hospital,Government,Victomine,Antimalarial,20.0,705,14100.0,March,2017,Jessica Smith,Britanny Bold,Delta
Daugherty-Rempel  ,Koch-Osinski Pharmaceutical Ltd,Sankt Augustin,Germany,50.77,7.1867,Hospital,Private,Interfeferon Aspipex,Antiseptics,200.0,416,83200.0,March,2017,Sheila Stones,Britanny Bold,Delta
Gerlach LLC ,Leffler-Russel Pharmaceutical Limited,Hennigsdorf,Germany,52.6378,13.2036,Pharmacy,Institution,Aquamycin Lacoran,Analgesics,72.0,345,24840.0,March,2017,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,"Upton, Abernathy and Goodwin Pharmaceutical Limited",Detmold,Germany,51.9378,8.8833,Hospital,Government,Ionclotide,Analgesics,10.0,631,6310.0,March,2017,Anne Wu,Britanny Bold,Delta
Lockman  ,Paucek PLC ,Espelkamp,Germany,52.3772,8.6328,Pharmacy,Retail,Ganineva Agenium,Antiseptics,16.0,390,6240.0,March,2017,Mary Gerrard,Britanny Bold,Delta
Kozey-Emmerich ,Tillman Group Pharmaceutical Limited,Geilenkirchen,Germany,50.9653,6.1194,Hospital,Government,Cogxone Levanide,Antimalarial,126.0,686,86436.0,March,2017,Morris Garcia,Tracy Banks,Bravo
Gerlach LLC ,"Gleichner, Bahringer and Morar Pharmacy",Brilon,Germany,51.3956,8.5678,Hospital,Private,Alimmethate Insudase,Analgesics,20.0,624,12480.0,March,2017,Morris Garcia,Tracy Banks,Bravo
Erdman  ,Kreiger Inc Pharm,Salzgitter,Germany,52.1503,10.3593,Hospital,Government,Diprolimus,Antiseptics,60.0,634,38040.0,March,2017,Steve Pepple,Tracy Banks,Bravo
Gerlach LLC ,Beier PLC Pharma Plc,Lampertheim,Germany,49.5942,8.4671,Pharmacy,Institution,Travosoline Capolac,Antipiretics,10.0,610,6100.0,March,2017,Alan Ray,James Goodwill,Alfa
Schaefer LLC ,"Heathcote, Kovacek and Parker ",Hof,Germany,50.3167,11.9167,Pharmacy,Retail,Temasone Thiobucil,Antimalarial,20.0,482,9640.0,March,2017,Jessica Smith,Britanny Bold,Delta
Gerlach LLC ,"Paucek, Keeling and Bruen Pharmaceutical Limited",Bad Kreuznach,Germany,49.8469,7.8669,Pharmacy,Retail,Lactubucil,Antipiretics,30.0,585,17550.0,March,2017,Alan Ray,James Goodwill,Alfa
Erdman  ,Okuneva-Corkery Pharm,Groß-Gerau,Germany,49.9214,8.4818,Hospital,Government,Apromin,Antiseptics,100.0,375,37500.0,March,2017,Daniel Gates,Alisha Cordwell,Charlie
Gerlach LLC ,Vandervort LLC Pharm,Stade,Germany,53.6008,9.4764,Pharmacy,Retail,Sevoderm,Antipiretics,5.0,663,3315.0,March,2017,Stella Given,Alisha Cordwell,Charlie
Koss   ,"Torphy, Pfeffer and Jakubowski Pharm",Limburg,Germany,50.3833,8.0667,Pharmacy,Retail,Agalsiline,Mood Stabilizers,1.0,64,64.0,March,2017,Stella Given,Alisha Cordwell,Charlie
Daugherty-Rempel  ,Kris LLC Pharmacy,Halberstadt,Germany,51.8958,11.0467,Hospital,Private,Cephovelam,Mood Stabilizers,20.0,542,10840.0,March,2017,Jessica Smith,Britanny Bold,Delta
Rohan and Sons  ,Barrows Inc Pharmacy,Teltow,Germany,52.4022,13.2706,Hospital,Private,Raparidol,Mood Stabilizers,8.0,187,1496.0,March,2017,Daniel Gates,Alisha Cordwell,Charlie
Koss   ,Hill-Daniel Pharmaceutical Ltd,Neumünster,Germany,54.0714,9.99,Hospital,Government,Ribabyclor,Antiseptics,36.0,469,16884.0,March,2017,Jessica Smith,Britanny Bold,Delta
Gerlach LLC ,Barrows-Kohler Pharma Plc,Coesfeld,Germany,51.9458,7.1675,Pharmacy,Retail,Ganineva Agenium,Antiseptics,50.0,390,19500.0,March,2017,Daniel Gates,Alisha Cordwell,Charlie
Koss   ,"Nitzsche, Effertz and Maggio Pharmaceutical Limited",Northeim,Germany,51.7067,10.0011,Pharmacy,Retail,Feruprazole,Mood Stabilizers,20.0,115,2300.0,March,2017,Steve Pepple,Tracy Banks,Bravo
Koss   ,D'Amore and Sons Pharmacy,Lohne,Germany,52.6667,8.2386,Hospital,Government,Trazobalamin,Mood Stabilizers,60.0,762,45720.0,March,2017,Steve Pepple,Tracy Banks,Bravo
Gerlach LLC ,"Parker, Green and Emmerich Pharma Plc",Baesweiler,Germany,50.9,6.1833,Pharmacy,Retail,Acycpex,Mood Stabilizers,6.0,510,3060.0,March,2017,Jimmy Grey,Alisha Cordwell,Charlie
Daugherty-Rempel  ,Schaefer-Rolfson Pharma Plc,Freiberg,Germany,50.9119,13.3428,Pharmacy,Retail,Lansostral Acgestin,Antiseptics,400.0,627,250800.0,March,2017,Abigail Thompson,Tracy Banks,Bravo
Kozey-Emmerich ,Gottlieb-Koss Pharm,Hattingen,Germany,51.3992,7.1858,Pharmacy,Institution,Aggrakine,Antiseptics,800.0,47,37600.0,March,2017,Daniel Gates,Alisha Cordwell,Charlie
Kozey-Emmerich ,White Inc Pharm,Ehingen an der Donau,Germany,48.2833,9.7236,Pharmacy,Retail,Cricane Acamsumab,Antiseptics,480.0,22,10560.0,March,2017,Sheila Stones,Britanny Bold,Delta
Kozey-Emmerich ,Fritsch LLC Pharm,Biberach,Germany,48.0981,9.7886,Hospital,Government,Albuterenone,Antimalarial,24.0,82,1968.0,March,2018,Morris Garcia,Tracy Banks,Bravo
Daugherty-Rempel  ,Schulist-Zulauf Pharmaceutical Ltd,Kornwestheim,Germany,48.8597,9.185,Pharmacy,Retail,Pitodomide,Antimalarial,10.0,24,240.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Koss   ,White Inc Pharmacy,Bad Homburg,Germany,50.2292,8.6105,Hospital,Government,Aspinavir Silovance,Antibiotics,20.0,549,10980.0,March,2018,Erica Jones,James Goodwill,Alfa
Gerlach LLC ,Barrows Inc Pharmaceutical Limited,Speyer,Germany,49.3194,8.4311,Pharmacy,Retail,Imiderm Vibranovate,Antipiretics,15.0,390,5850.0,March,2018,Abigail Thompson,Tracy Banks,Bravo
Koss   ,"Ondricka, Rosenbaum and Beahan Pharm",Iserlohn,Germany,51.3833,7.6667,Hospital,Government,Testant,Mood Stabilizers,480.0,488,234240.0,March,2018,Mary Gerrard,Britanny Bold,Delta
Gerlach LLC ,"Buckridge, Hand and Hyatt Pharmaceutical Ltd",Bad Neuenahr-Ahrweiler,Germany,50.5447,7.1133,Pharmacy,Institution,Eproline,Antibiotics,46.0,780,35880.0,March,2018,Jessica Smith,Britanny Bold,Delta
Rohan and Sons  ,"Torphy, Pfeffer and Jakubowski Pharm",Limburg,Germany,50.3833,8.0667,Pharmacy,Retail,Argalazine Abostryl,Antipiretics,90.0,628,56520.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gerlach LLC ,Kuhic LLC Pharmaceutical Limited,Gronau,Germany,52.2125,7.0417,Pharmacy,Institution,Ketastadil,Analgesics,30.0,763,22890.0,March,2018,Steve Pepple,Tracy Banks,Bravo
Gerlach LLC ,Cassin PLC Pharmaceutical Limited,Weißenfels,Germany,51.2,11.9667,Pharmacy,Retail,Arivac,Antimalarial,20.0,567,11340.0,March,2018,Anne Wu,Britanny Bold,Delta
Koss   ,Ritchie-Rodriguez Pharmacy,Herford,Germany,52.1146,8.6734,Pharmacy,Retail,Nisorase,Antibiotics,150.0,393,58950.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gerlach LLC ,Murray PLC Pharma Plc,Reinbek,Germany,53.5089,10.2483,Hospital,Private,Travosoline Capolac,Antipiretics,36.0,610,21960.0,March,2018,Erica Jones,James Goodwill,Alfa
Erdman  ,Trantow LLC Pharmacy,Landau,Germany,49.1994,8.1231,Hospital,Private,Interfedox Pilobamol,Antiseptics,120.0,41,4920.0,March,2018,Jessica Smith,Britanny Bold,Delta
Gerlach LLC ,"Steuber, Hills and Botsford ",Gotha,Germany,50.9489,10.7183,Pharmacy,Institution,Palodizem,Mood Stabilizers,50.0,201,10050.0,March,2018,Mary Gerrard,Britanny Bold,Delta
Koss   ,Block-Romaguera Pharmacy,Werl,Germany,51.5528,7.9139,Hospital,Private,Clindaracil,Analgesics,10.0,173,1730.0,March,2018,Steve Pepple,Tracy Banks,Bravo
Welch-Langworth ,"Beer, Kohler and Beatty ",Oberursel,Germany,50.2028,8.5769,Hospital,Government,Tracdomide,Antipiretics,220.0,548,120560.0,March,2018,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,"Prohaska, Bogisich and Gutkowski Pharm",Bad Oldesloe,Germany,53.8117,10.3742,Hospital,Private,Kiovax Tercorolac,Analgesics,10.0,722,7220.0,March,2018,Jessica Smith,Britanny Bold,Delta
Gerlach LLC ,Schaefer LLC Pharma Plc,Stendal,Germany,52.6,11.85,Pharmacy,Institution,Apronazol,Antibiotics,20.0,472,9440.0,March,2018,Anne Wu,Britanny Bold,Delta
Kozey-Emmerich ,"Schinner, Gaylord and Treutel Pharmacy",Hamm,Germany,51.6667,7.8167,Pharmacy,Retail,Metapatch,Antipiretics,10.0,438,4380.0,March,2018,Stella Given,Alisha Cordwell,Charlie
Gerlach LLC ,Barrows-Kohler Pharma Plc,Coesfeld,Germany,51.9458,7.1675,Pharmacy,Retail,Atrabicin Alkerotec,Antiseptics,5.0,249,1245.0,March,2018,Steve Pepple,Tracy Banks,Bravo
Koss   ,Hane Ltd Pharmaceutical Ltd,Aichach,Germany,48.45,11.1333,Hospital,Private,Aggrakine,Antiseptics,10.0,47,470.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gerlach LLC ,Reichel Inc ,Trier,Germany,49.7567,6.6414,Hospital,Government,Ampinonide,Antimalarial,20.0,248,4960.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Erdman  ,Mayert-Weber Pharmaceutical Ltd,Apolda,Germany,51.0247,11.5139,Pharmacy,Institution,Presetron,Mood Stabilizers,90.0,216,19440.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Koss   ,Jakubowski Inc Pharma Plc,Tönisvorst,Germany,51.3208,6.4931,Hospital,Government,Abatatriptan,Antibiotics,100.0,742,74200.0,March,2018,Anne Wu,Britanny Bold,Delta
Erdman  ,Leannon-West ,Rösrath,Germany,50.9,7.1833,Hospital,Private,Sumanazole,Analgesics,5.0,529,2645.0,March,2018,Erica Jones,James Goodwill,Alfa
Koss   ,Bashirian-Kassulke Pharmacy,Kamp-Lintfort,Germany,51.5,6.5333,Hospital,Private,Ionclotide,Analgesics,-90.0,631,-56790.0,March,2018,Mary Gerrard,Britanny Bold,Delta
Koss   ,Beier PLC Pharm,Hückelhoven,Germany,51.0608,6.2197,Pharmacy,Institution,Adtiza Gammaluble,Antibiotics,150.0,452,67800.0,March,2018,Steve Pepple,Tracy Banks,Bravo
Koss   ,Gottlieb-Cruickshank Pharm,Schwabach,Germany,49.3292,11.0208,Pharmacy,Retail,Darlofen,Antipiretics,200.0,577,115400.0,March,2018,Erica Jones,James Goodwill,Alfa
Gerlach LLC ,Kihn Group Pharm,Vaihingen an der Enz,Germany,48.9328,8.9564,Hospital,Private,Zynosine,Antimalarial,5.0,74,370.0,March,2018,Anne Wu,Britanny Bold,Delta
Rohan and Sons  ,"Spinka, Schowalter and Conn Pharma Plc",Emmendingen,Germany,48.1214,7.8492,Hospital,Government,Zonixamine Immulinum,Analgesics,225.0,298,67050.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gerlach LLC ,Sauer and Sons Pharmacy,Hürth,Germany,50.8775,6.8761,Pharmacy,Institution,Tracdomide,Antipiretics,2.0,548,1096.0,March,2018,Anne Wu,Britanny Bold,Delta
Erdman  ,Boyer and Sons Pharmaceutical Ltd,Arnstadt,Germany,50.8342,10.9464,Hospital,Private,Ribabyclor,Antiseptics,10.0,469,4690.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Koss   ,"Reinger, Kihn and Goyette Pharmaceutical Limited",Overath,Germany,50.95,7.3,Hospital,Government,Oxymotroban Fexoformin,Analgesics,36.0,458,16488.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Koss   ,VonRueden-Adams Pharmaceutical Limited,Fellbach,Germany,48.8086,9.2758,Pharmacy,Institution,Oxymotroban Fexoformin,Analgesics,10.0,458,4580.0,March,2018,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,Zemlak-Witting Pharmaceutical Limited,Plettenberg,Germany,51.2128,7.8715,Hospital,Government,Diprolimus,Antiseptics,50.0,634,31700.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gerlach LLC ,"Wintheiser, Breitenberg and Gottlieb Pharma Plc",Warstein,Germany,51.45,8.3667,Pharmacy,Institution,Halciramine,Antimalarial,2.0,409,818.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Erdman  ,Cremin-Zemlak Pharma Plc,Haan,Germany,51.1931,7.0131,Pharmacy,Institution,Algluconium Dorzofoxin,Antibiotics,30.0,611,18330.0,March,2018,Morris Garcia,Tracy Banks,Bravo
Gerlach LLC ,Hermiston and Sons Pharmacy,Plauen,Germany,50.495,12.1383,Pharmacy,Institution,Adriafinil Ehtymara,Antiseptics,5.0,535,2675.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Erdman  ,"Kuphal, D'Amore and Bode Pharm",Cologne,Germany,50.9422,6.9578,Hospital,Government,Claripenem,Antibiotics,10.0,448,4480.0,March,2018,Anne Wu,Britanny Bold,Delta
Koss   ,Buckridge-Strosin Pharma Plc,Neuruppin,Germany,52.9222,12.8,Hospital,Private,Acubulin,Antipiretics,4.0,490,1960.0,March,2018,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,"Heathcote, Grant and Witting Pharmacy",Braunschweig,Germany,52.2692,10.5211,Hospital,Private,Tetratanyl,Antimalarial,60.0,511,30660.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gerlach LLC ,"Zieme, Doyle and Kunze Pharm",Stuttgart,Germany,48.7761,9.1775,Pharmacy,Retail,Abtasol,Antiseptics,5.0,754,3770.0,March,2018,Morris Garcia,Tracy Banks,Bravo
Koss   ,Kuhic LLC Pharmaceutical Limited,Gronau,Germany,52.2125,7.0417,Pharmacy,Institution,Zynosine,Antimalarial,4.0,74,296.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Welch-Langworth ,Zemlak-Witting ,Cuxhaven,Germany,53.8667,8.7,Pharmacy,Retail,Acantaine,Antibiotics,440.0,66,29040.0,March,2018,Abigail Thompson,Tracy Banks,Bravo
Gerlach LLC ,"Parisian, Hagenes and Skiles Pharm",Greiz,Germany,50.6547,12.1997,Hospital,Government,Paronium Atracustone,Analgesics,10.0,414,4140.0,March,2019,Mary Gerrard,Britanny Bold,Delta
Koss   ,Marquardt PLC ,Wetter (Ruhr),Germany,51.3881,7.395,Hospital,Government,Methiclotide,Antibiotics,560.0,458,256480.0,March,2019,Thompson Crawford,James Goodwill,Alfa
Kozey-Emmerich ,"Casper, Hyatt and Jakubowski Pharmaceutical Ltd",Neuburg,Germany,48.7333,11.1833,Pharmacy,Institution,Proprabax,Analgesics,4000.0,64,256000.0,March,2019,Morris Garcia,Tracy Banks,Bravo
Koss   ,McDermott Inc Pharmacy,Frankenthal,Germany,49.5333,8.35,Hospital,Private,Agalsiline,Mood Stabilizers,162.0,64,10368.0,March,2019,Daniel Gates,Alisha Cordwell,Charlie
Bashirian-Kassulke  ,Gulgowski-Vandervort Pharma Plc,Oranienburg,Germany,52.7544,13.2369,Pharmacy,Institution,Ultrimax Ultriset,Antiseptics,50.0,269,13450.0,March,2019,Alan Ray,James Goodwill,Alfa
Koss   ,Homenick-Larson ,Lübbecke,Germany,52.3081,8.6231,Pharmacy,Institution,Hemavate Spirolinum,Mood Stabilizers,10.0,210,2100.0,March,2019,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,Reilly Ltd Pharmacy,Sindelfingen,Germany,48.7133,9.0028,Hospital,Private,Morphizolid Tianalin,Mood Stabilizers,1656.0,742,1228752.0,March,2019,Alan Ray,James Goodwill,Alfa
Kozey-Emmerich ,Herman-Koss Pharmaceutical Ltd,Gifhorn,Germany,52.4886,10.5464,Hospital,Private,Alpharolac,Antipiretics,380.0,533,202540.0,March,2019,Jessica Smith,Britanny Bold,Delta
Gerlach LLC ,Schulist LLC Pharmaceutical Limited,Neustadt am Rübenberge,Germany,52.5055,9.4636,Pharmacy,Institution,Adriacaine,Mood Stabilizers,276.0,361,99636.0,March,2019,Sheila Stones,Britanny Bold,Delta
Gerlach LLC ,Walsh-Brown Pharmaceutical Ltd,Bernburg,Germany,51.8,11.7333,Hospital,Private,Sodinel Olofribrate,Antimalarial,69.0,50,3450.0,March,2019,Jessica Smith,Britanny Bold,Delta
Koss   ,Feest-Kshlerin Pharma Plc,Merzig,Germany,49.4471,6.6312,Hospital,Government,Alemtuvatol Megalinum,Analgesics,100.0,682,68200.0,March,2019,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,"Armstrong, Medhurst and Bogisich Pharmaceutical Ltd",Waldshut-Tiengen,Germany,47.6231,8.2144,Hospital,Private,Diprolimus,Antiseptics,100.0,634,63400.0,March,2019,Abigail Thompson,Tracy Banks,Bravo
Koss   ,Fahey-Prosacco Pharmacy,Jena,Germany,50.9272,11.5864,Hospital,Government,Penitrana,Analgesics,5.0,179,895.0,March,2019,Thompson Crawford,James Goodwill,Alfa
Gerlach LLC ,Veum-Kerluke Pharma Plc,Wismar,Germany,53.8925,11.465,Pharmacy,Retail,Ketastadil,Analgesics,3.0,763,2289.0,March,2019,Jessica Smith,Britanny Bold,Delta
Koss   ,Barrows Inc Pharmacy,Teltow,Germany,52.4022,13.2706,Hospital,Private,Dexacilin Triline,Analgesics,10.0,129,1290.0,March,2019,Stella Given,Alisha Cordwell,Charlie
Koss   ,Friesen Group ,Meiningen,Germany,50.55,10.4167,Pharmacy,Retail,Decidenu Galantrigine,Antipiretics,15.0,590,8850.0,March,2019,Mary Gerrard,Britanny Bold,Delta
Koss   ,Murray PLC Pharma Plc,Reinbek,Germany,53.5089,10.2483,Hospital,Private,Arivac,Antimalarial,20.0,567,11340.0,March,2019,Sheila Stones,Britanny Bold,Delta
Gerlach LLC ,"Schinner, Gaylord and Treutel Pharmaceutical Limited",Ahrensburg,Germany,53.6747,10.2411,Hospital,Private,Topipizole,Mood Stabilizers,3.0,368,1104.0,March,2019,Daniel Gates,Alisha Cordwell,Charlie
Gerlach LLC ,Senger-Kirlin Pharmaceutical Ltd,Friedrichsdorf,Germany,50.2569,8.6418,Hospital,Private,Insozyme,Antiseptics,5.0,655,3275.0,March,2019,Abigail Thompson,Tracy Banks,Bravo
Erdman  ,Bashirian Group ,Pforzheim,Germany,48.895,8.705,Pharmacy,Institution,Victomax,Analgesics,23.0,623,14329.0,March,2019,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,Runte-Marquardt Pharmacy,Idstein,Germany,50.2206,8.2692,Pharmacy,Retail,Liomulin,Mood Stabilizers,10.0,490,4900.0,March,2019,Sheila Stones,Britanny Bold,Delta
Koss   ,Schulist-Zulauf ,Erfurt,Germany,50.9787,11.0328,Pharmacy,Institution,Effidomide Evofribrate,Antiseptics,20.0,612,12240.0,March,2019,Steve Pepple,Tracy Banks,Bravo
Koss   ,"Steuber, Skiles and Kilback Pharmacy",Datteln,Germany,51.6539,7.3417,Pharmacy,Institution,Algluconium Dorzofoxin,Antibiotics,10.0,611,6110.0,March,2019,Stella Given,Alisha Cordwell,Charlie
Gerlach LLC ,Balistreri Group Pharmacy,Bad Honnef am Rhein,Germany,50.645,7.2269,Pharmacy,Institution,Choriotrisin,Antibiotics,20.0,591,11820.0,March,2019,Abigail Thompson,Tracy Banks,Bravo
Koss   ,Armstrong Inc Pharma Plc,Passau,Germany,48.5667,13.4667,Pharmacy,Retail,Cephozumab Synmethate,Antibiotics,20.0,768,15360.0,March,2019,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,"Kirlin, Hamill and Dickinson Pharma Plc",Weißenburg,Germany,49.0306,10.9719,Pharmacy,Retail,Topipizole,Mood Stabilizers,2.0,368,736.0,March,2019,Jimmy Grey,Alisha Cordwell,Charlie
Koss   ,Huels-Klein Pharmaceutical Ltd,Helmstedt,Germany,52.2281,11.0106,Pharmacy,Retail,Adriafinil Ehtymara,Antiseptics,1.0,535,535.0,March,2019,Mary Gerrard,Britanny Bold,Delta
Gerlach LLC ,Stehr-Champlin Pharmacy,Eberswalde,Germany,52.8331,13.8331,Pharmacy,Retail,Afluferon Entrarenone,Antimalarial,-179.0,104,-18616.0,March,2019,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,Bashirian-Kassulke Pharmacy,Kamp-Lintfort,Germany,51.5,6.5333,Hospital,Private,Robapril,Antipiretics,4.0,453,1812.0,March,2019,Steve Pepple,Tracy Banks,Bravo
Gerlach LLC ,Lockman-Welch ,Kiel,Germany,54.3233,10.1394,Hospital,Government,Acubulin,Antipiretics,900.0,490,441000.0,March,2019,Erica Jones,James Goodwill,Alfa
Koss   ,"Hills, Stroman and Ernser ",Rheda-Wiedenbrück,Germany,51.8417,8.3,Pharmacy,Retail,Fentatrol Rapatelase,Antibiotics,33.0,458,15114.0,March,2019,Abigail Thompson,Tracy Banks,Bravo
Koss   ,Hayes-Kilback Pharmaceutical Limited,Springe,Germany,52.2167,9.55,Pharmacy,Retail,Travosoline Capolac,Antipiretics,50.0,610,30500.0,March,2019,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,"Upton, Abernathy and Goodwin Pharmaceutical Limited",Detmold,Germany,51.9378,8.8833,Hospital,Government,Nevanide Actozide,Antibiotics,6.0,773,4638.0,March,2019,Alan Ray,James Goodwill,Alfa
Gerlach LLC ,Beier PLC Pharma Plc,Lampertheim,Germany,49.5942,8.4671,Pharmacy,Institution,Pitodomide,Antimalarial,20.0,24,480.0,March,2019,Anne Wu,Britanny Bold,Delta
Koss   ,Kris LLC Pharmaceutical Limited,Herten,Germany,51.6,7.1333,Hospital,Government,Dantolac Pazocor,Analgesics,70.0,578,40460.0,March,2019,Jimmy Grey,Alisha Cordwell,Charlie
Gerlach LLC ,"Paucek, Keeling and Bruen Pharma Plc",Sankt Wendel,Germany,49.4667,7.1667,Hospital,Government,Zonixamine Immulinum,Analgesics,10.0,298,2980.0,March,2019,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,"Parker, Green and Emmerich Pharmacy",Frankfurt (Oder),Germany,52.35,14.55,Hospital,Government,Trazozaprine,Mood Stabilizers,3.0,708,2124.0,March,2019,Stella Given,Alisha Cordwell,Charlie
Koss   ,Sauer and Sons Pharmacy,Hürth,Germany,50.8775,6.8761,Pharmacy,Institution,Diprolimus,Antiseptics,100.0,634,63400.0,March,2019,Abigail Thompson,Tracy Banks,Bravo
Gerlach LLC ,Kris LLC Pharm,Zeitz,Germany,51.0478,12.1383,Pharmacy,Institution,Immurenol Temarate,Antipiretics,6.0,303,1818.0,March,2019,Abigail Thompson,Tracy Banks,Bravo
Koss   ,Pfeffer-Kirlin Pharmaceutical Limited,Selm,Germany,51.6833,7.4833,Hospital,Private,Vibratosine Alemtrace,Antibiotics,1.0,269,269.0,March,2019,Daniel Gates,Alisha Cordwell,Charlie
Erdman  ,"Wintheiser, Breitenberg and Gottlieb ",Bünde,Germany,52.2,8.6,Hospital,Private,Atomorelin,Analgesics,720.0,555,399600.0,March,2019,Anne Wu,Britanny Bold,Delta
Gerlach LLC ,"Ondricka, Rosenbaum and Beahan Pharm",Iserlohn,Germany,51.3833,7.6667,Hospital,Government,Arivac,Antimalarial,10.0,567,5670.0,March,2019,Erica Jones,James Goodwill,Alfa
Erdman  ,Boyer and Sons Pharmaceutical Ltd,Arnstadt,Germany,50.8342,10.9464,Hospital,Private,Afaxacin,Analgesics,30.0,60,1800.0,March,2019,Daniel Gates,Alisha Cordwell,Charlie
Gerlach LLC ,D'Amore and Sons Pharmacy,Lohne,Germany,52.6667,8.2386,Hospital,Government,Atomorelin,Analgesics,30.0,555,16650.0,March,2019,Stella Given,Alisha Cordwell,Charlie
Koss   ,Fritsch-Hauck Pharm,Fürstenwalde,Germany,52.3667,14.0667,Hospital,Government,Clindaracil,Analgesics,3.0,173,519.0,March,2019,Stella Given,Alisha Cordwell,Charlie
Koss   ,Turner Ltd ,Porta Westfalica,Germany,52.2167,8.9333,Hospital,Private,Zynosine,Antimalarial,20.0,74,1480.0,March,2019,Stella Given,Alisha Cordwell,Charlie
Koss   ,"Kutch, Daniel and Ortiz Pharm",Gummersbach,Germany,51.0333,7.5667,Hospital,Private,Factolamide,Antiseptics,6.0,345,2070.0,March,2019,Stella Given,Alisha Cordwell,Charlie
